epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.6807,2.72063,3.64849,2.22562,0.00022,0.0303,0.00037,4e-05,4.25389,4.44649,3.51245,7e-05,7e-05,7e-05
2,98.532,2.36081,3.20031,1.95265,0.00027,0.0303,0.00033,9e-05,4.12417,4.41853,3.37474,0.00014505,0.00014505,0.00014505
3,147.141,2.10112,2.72045,1.70843,0.00033,0.0303,0.00027,5e-05,4.05413,4.39946,3.27916,0.00021482,0.00021482,0.00021482
4,190.446,1.99717,2.39175,1.59841,0.00173,0.10606,0.01976,0.00393,3.77233,4.24504,2.95112,0.00027931,0.00027931,0.00027931
5,233.717,1.82713,2.10677,1.49728,0.85688,0.09091,0.27523,0.11398,2.58384,3.48197,2.11663,0.00033852,0.00033852,0.00033852
6,279.047,1.76974,1.88421,1.40068,0.83761,0.24474,0.44173,0.15942,2.32498,3.07364,1.8483,0.00039245,0.00039245,0.00039245
7,324.1,1.60597,1.73406,1.3434,0.87379,0.3765,0.65985,0.32122,1.96875,2.69695,1.68813,0.0004411,0.0004411,0.0004411
8,369.259,1.60134,1.71302,1.34102,0.8464,0.62401,0.85283,0.45042,1.64188,2.21137,1.47002,0.00048447,0.00048447,0.00048447
9,412.804,1.52988,1.5586,1.26222,0.88048,0.80241,0.93012,0.5288,1.42338,1.79938,1.3443,0.00052256,0.00052256,0.00052256
10,458.535,1.43308,1.4338,1.22762,0.91831,0.82136,0.93394,0.56472,1.40431,1.55759,1.31669,0.00055537,0.00055537,0.00055537
11,503.348,1.48643,1.38446,1.2265,0.8907,0.8837,0.9519,0.54185,1.4965,1.41608,1.29729,0.0005829,0.0005829,0.0005829
12,548.284,1.42035,1.35551,1.21474,0.8804,0.86928,0.97047,0.64228,1.21622,1.34447,1.23456,0.00060515,0.00060515,0.00060515
13,591.825,1.42984,1.3054,1.20939,0.91581,0.84609,0.98046,0.6514,1.1952,1.31016,1.25121,0.000604,0.000604,0.000604
14,633.791,1.33637,1.21463,1.18247,0.91491,0.93625,0.98656,0.62341,1.3031,1.22938,1.26689,0.000571,0.000571,0.000571
15,673.116,1.40994,1.22647,1.19078,0.93783,0.94131,0.9883,0.58635,1.32351,1.1744,1.26845,0.000538,0.000538,0.000538
16,712.253,1.33413,1.17523,1.17809,0.94242,0.95461,0.99348,0.62096,1.24591,1.13752,1.21973,0.000505,0.000505,0.000505
17,751.851,1.33888,1.1965,1.18092,0.91293,0.9794,0.99222,0.62076,1.25056,1.12706,1.19513,0.000472,0.000472,0.000472
18,791.2,1.33888,1.16336,1.16452,0.92355,0.97851,0.97999,0.66385,1.15173,1.04403,1.17305,0.000439,0.000439,0.000439
19,830.564,1.3109,1.14391,1.15371,0.92789,0.97766,0.98078,0.63248,1.28434,1.08149,1.22034,0.000406,0.000406,0.000406
20,870.432,1.25813,1.08235,1.13385,0.9314,0.96566,0.97615,0.65541,1.19832,1.03053,1.17195,0.000373,0.000373,0.000373
21,910.432,1.20535,1.08387,1.10233,0.91006,0.96673,0.99098,0.67535,1.13187,1.06521,1.13406,0.00034,0.00034,0.00034
22,948.767,1.20826,1.05053,1.09642,0.91223,0.97425,0.995,0.65178,1.18726,1.14367,1.14003,0.000307,0.000307,0.000307
23,987.044,1.18841,1.05942,1.10528,0.90113,0.98343,0.995,0.6637,1.16602,1.055,1.13232,0.000274,0.000274,0.000274
24,1025.55,1.17177,1.00956,1.07823,0.91298,0.99542,0.99348,0.6624,1.14999,0.97456,1.12682,0.000241,0.000241,0.000241
25,1063.26,1.14878,0.98929,1.07424,0.92263,0.99602,0.995,0.65994,1.15103,0.98224,1.13374,0.000208,0.000208,0.000208
26,1100.44,1.1353,0.97713,1.08782,0.93046,0.97826,0.99223,0.6651,1.13944,0.95598,1.1189,0.000175,0.000175,0.000175
27,1138.62,1.15765,0.98676,1.09818,0.91891,0.9839,0.98709,0.67128,1.12308,0.96039,1.09719,0.000142,0.000142,0.000142
28,1176.63,1.19097,0.99163,1.08963,0.91375,0.99393,0.98848,0.68321,1.10704,0.96245,1.09238,0.000109,0.000109,0.000109
29,1214.96,1.13597,0.95433,1.05646,0.93165,0.98979,0.995,0.6804,1.10518,0.95928,1.09841,7.6e-05,7.6e-05,7.6e-05
30,1253.2,1.1582,0.985,1.0793,0.94557,0.9848,0.995,0.67465,1.11117,0.94777,1.10693,4.3e-05,4.3e-05,4.3e-05
