epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.89169,2.7762,5.80491,4.4553,2.11246,0.00973,0.38579,0.0764,0.0254,0.01055,0.41154,0.08807,0.03214,1.57604,2.81823,3.99673,1.32481,0.00012,0.00012,0.00012
2,8.83547,1.63072,2.03658,3.34882,1.28745,0.8921,0.1324,0.26548,0.10561,0.88548,0.13894,0.28254,0.11751,1.21518,1.66813,3.53053,1.05471,0.00024175,0.00024175,0.00024175
3,11.8503,1.49487,1.65409,2.28045,1.1534,0.02429,0.81667,0.48437,0.27491,0.02429,0.81667,0.47377,0.24563,1.25479,1.53876,3.06547,1.05046,0.00035492,0.00035492,0.00035492
4,14.5722,1.42296,1.49973,1.73325,1.13983,0.75183,0.43197,0.55719,0.31975,0.74957,0.4278,0.55444,0.31614,1.28729,1.34418,2.87735,1.07744,0.00045951,0.00045951,0.00045951
5,17.3068,1.34988,1.32865,1.43503,1.12205,0.90175,0.17729,0.75957,0.40353,0.76859,0.16063,0.72456,0.4202,1.34631,1.13906,2.66455,1.09969,0.00055552,0.00055552,0.00055552
6,20.0133,1.30457,1.30205,1.32514,1.10546,0.99059,0.24211,0.864,0.53545,0.99059,0.24211,0.86722,0.52574,1.19653,1.16277,2.50644,1.0586,0.00064295,0.00064295,0.00064295
7,22.7165,1.2781,1.2924,1.23656,1.0828,0.94457,0.58795,0.93041,0.5743,0.94457,0.58795,0.93103,0.53068,1.24767,1.00873,1.9213,1.05707,0.0007218,0.0007218,0.0007218
8,25.4244,1.32732,1.27232,1.21354,1.11377,0.98373,0.67055,0.95235,0.61521,0.98373,0.67055,0.9546,0.56442,1.17152,1.00896,1.87171,1.02352,0.000769,0.000769,0.000769
9,28.1401,1.28132,1.23015,1.14825,1.0847,0.91169,0.88654,0.97702,0.63762,0.90255,0.88459,0.97319,0.6311,1.19989,1.06358,1.45315,1.00771,0.000736,0.000736,0.000736
10,31.0138,1.24436,1.2035,1.10269,1.06868,0.89285,0.92483,0.94829,0.56736,0.91228,0.94168,0.96581,0.57079,1.33431,0.99421,1.20844,1.08008,0.000703,0.000703,0.000703
11,33.7969,1.21176,1.21808,1.03715,1.06568,0.93627,0.95138,0.96739,0.65913,0.93975,0.95555,0.97288,0.64605,1.08738,0.96957,1.05039,0.98899,0.00067,0.00067,0.00067
12,36.6145,1.19788,1.22105,1.02017,1.05284,0.96389,0.98533,0.99206,0.67792,0.95989,0.98116,0.98961,0.63866,1.10546,0.95089,0.92535,1.01061,0.000637,0.000637,0.000637
